קטגוריה,תיאור,עדיפות,משך זמן משוער בדקות,סטטוס,תאריך יעד,תאריך סיום
אישי,עמותה,5,30,בוצע 25%,,
אישי,עדכון תעריפים ברנדוויין,4,30,,,
אישי,להמשיך עם הגיטרה ואקורדיון,2,,,,
בית,תביעה מייבש,5,120,בוצע 25%,,
בית,תביעה דיוואני,5,120,בוצע 50%,,
בית,ביטוח,3,30,בוצע 25%,,
בית,בדירקת תשלומים,3,,בוצע 50%,,
בית,ויטמין די,3,,,,
בית,"חיים וינר רגשי ליונטי, ומורה פרטי לאלי",3,,בוצע 50%,,
בית,תיקונים ובדק בית,3,,,,
בית,מדף למגהץ,3,,15,,
בית,מדפים ל סלסלות פלסטיק גדולות,3,,15,,
בית,מדף לחומרי ניקוי,3,,10,,
בית,מתלה לקרש גיהוץ,3,,5,,
בית,לחסום את חצי המדף הפנימי בארון ליד המקרר,3,,20,,
בית,לסדר מחדש קלסרים בעמודון שלי,3,,0,,
בית,לסרוק כל מה שאפשר,3,,,,
בית,לקנות מדפסת לבית,3,,,,
בית,סידור ארגזי חוטים וכבלים מיותרים,3,,120,,
בית,סידור חדר דודי,3,,15,,
בית,סידור מגירות סלון,3,,30,,
בית,ניקוי ויטרינה וחידוש כלי כסף,3,,30,,
בית,לקנות כלי נגינה מיניאטורי לויטרינה,3,,,,
בית,להשלים ציוד כלי כתיבה,3,,,,
בית,ריקון מחשב מקבצים מיותרים,3,,,,
בית,לזרוק / למסור / למכור את הקופסאות של הדיסקים והשקיות המיותרות,3,,,,
בית,לקנות בר מים,3,,,,
בית,להמשיך עם האלבומים השנתיים,3,,,,
בית,אלבום  לכל ילד,3,,,,
בית,"תשלום לגנץ מצות 1750 ש""ח",3,,,,
בית,"תשלום לפוטש 200 ש""ח",3,,,,
דחוף / לסיווג,משווקת מודעה בפרוג,5,,,,
דחוף / לסיווג,סריקת וצילום חשבוניות,4,10,,,
דחוף / לסיווג,תכנן כספים איך משלמים לחיים,4,,,,
דחוף / לסיווג,שיווק יזארקס,4,,,,
דחוף / לסיווג,תוספת לשיר כל נדרי זיידי,4,,,,
דחוף / לסיווג,שליטה מרחוק למדרכים ולמיילים,4,,,,
דחוף / לסיווג,מודעה הכינור שלא נדם,4,,,,
דחוף / לסיווג,"למלא עדכונים בגפ""ן",3,,,,
דחוף / לסיווג,וואטסאפ לחשבונית ירוקה,3,,,,
דחוף / לסיווג,עדכון חישובים ברנדוויין,3,,,,
דחוף / לסיווג,אשת שיווק,3,,,,
דחוף / לסיווג,פנחס ארליך,3,,,,
דחוף / לסיווג,תמחור חיות דקדושה,3,,,,
דחוף / לסיווג,הדרן על הטאבלט?.,3,,,,
דחוף / לסיווג,הערכת כספים,3,,,,
דחוף / לסיווג,אפליקציה קניות,2,,,,
דחוף / לסיווג,"ראיון חדש עם זיידי לכבוד ההכנסת ס""ת אולי",2,,,,
דחוף / לסיווג,טיפול בקו טלפון 073-3834000,2,,,,
דחוף / לסיווג,לעדכן קטלוג לוואטסאפ,2,,,,
דחוף / לסיווג,תקציר סרטון הכינור שלא נדם,2,,,,
דחוף / לסיווג,הכנת מסמך לחיפוש מזכירה,5,,,,
דחוף / לסיווג,הכנת מסמך דרישות למזכירה לעבודה,5,,,,
דחוף / לסיווג,לסגור חוזה מפורט,5,,,,
דחוף / לסיווג,גור  בתי כנסת,3,,,,
דחוף / לסיווג,טבלת פעילות חודשית,3,,,,
דחוף / לסיווג,לבטל את מייק זה יהיה ממש מוגזם לשלם כ?כ ה,5,,,,
קליכיף שוטף,חשבוניות גפן כל אלו דרך ההכלה,5,,,,
קליכיף שוטף,חשבוניות חיות דקדושה,5,,,,
קליכיף שוטף,מייל אוטומטי,3,15,,,
קליכיף שוטף,הדרכה תוכנה,3,30,,,
קליכיף שוטף,נוהל מוסדות,3,15,,,
קליכיף שוטף,פגישה עם ברגר,2,40,,,
קליכיף שוטף,תרשים זרימה נעים לעין על קליק פור יו,2,45,בוצע 75 %,,
קליכיף שוטף,פגישה עם אהרן זאב ברנשטיין וכדן',2,45,,,
קליכיף שוטף,"תשלום 25-30 ש""ח למרמורשטיין מודיעין עילית",2,,,,
קליכיף שוטף,"פיין רחובות, ...ברודבקר אשדוד, להכין רשימת נהגים",1,15,,,
קליכיף שוטף,ניהול גאנט שנתי במאנדיי,1,60,,,
קליכיף שוטף,קריינות ב AI,1,60,,,
קליכיף שוטף,yafaharnof@gmail.com אירוע טלפוני 600 בהר נוף,1,,,,
קליכיף שוטף,"שרי גמינר לגבי פראג שעובדת במשרד התרבות. לשבת עם הבחור מהvr עין טובה לעשות שת""פ ולמכור חבילות של כמה מוצרים, לחפש איש שיווק פצצה",3,,,,
קליכיף שיווק,יעקב אלברט מפקח ממח,5,20,,,
קליכיף שיווק,"תזכורת לעשות שיווק של 5 טלפוני ם פעם בשבוע, בי""ס דלי, חילוני, חרדי, מתנס וכדו', עיריה",5,30,,,
קליכיף שיווק,שיווק,4,30,,,
קליכיף שיווק,"רשימת תפוצה חב""ד",4,30,,,
קליכיף שיווק,תוכנית בשיתוף משרד מורשת ירושלים לחול המועד פסח,4,60,,,
קליכיף שיווק,תוכנית לעיריית בני ברק תוכנית בשיתוף עיריית בני ברק יעקב רוזן,4,60,,,
קליכיף שיווק,שיווק אבישי רות,3,25,,,
קליכיף שיווק,עדכון במיי גפן,3,25,,,
קליכיף שיווק,"תוכנית זה""ב בני ברק / אשדוד/ אלעד וכל הערים החרדיות",3,60,,,
קליכיף שיווק,"קצנלבויגן בנות חיל ופרויקט בריאות. רפול מ מתנסי""ם",3,10,לקראת סיום,,
קליכיף שיווק,תוכנית מוזלת לקייטנות פסח,4,300,,,
קליכיף שיווק,פנחס ארליך,3,15,,,
קליכיף שיווק,לשלוח לתתים על כוכבי אחר,3,25,,,
קליכיף שיווק,פיתוח תוכניות זולות עם בינגו,3,120,,,
קליכיף שיווק,"הגשה לפמי
מפעל הפיס
תרבות וכו'",3,45,,,
קליכיף שיווק,הגשה למערכת מרכבה,3,,,,
קליכיף שיווק,אתר להכנסת פרסום,3,,,,
רעיונות,"פרוייקט הידען, סטטוס וחידון שבועי נושא פרסים",4,300,,,
רעיונות,פעמונים,3,,בוצע,,
רעיונות,"משחנוכה / חנוקליק, משחק קופסא לחנוכה",2,,,,
רעיונות,"פרוייקט הידען, סטטוס וחידון שבועי נושא פרסים",2,240,,,
רעיונות,פיתוח תוכנית בסגנון של שלמה מילר,1,300,,,
רעיונות,פיתוח תוכנית עם האקורדיון על שירה ונגינה,1,300,,,
רעיונות,להוסיף לערכת המשחקים את המשחק של זיהוי דמויות ולחשוב על משימה שדומה לתחרות של הפסטה והמרשמלו,3,,,,
רעיונות,לתת לסביבון תפקיד משמעותי במשחק ולשלב אותו במשימות,3,,,,
רעיונות,"לשמוע חוות דעת מאנשים כמו ישראל מביתר טויס, חיים רוזנשטיין, אנשים שיש להם ידע וניסיון בתחום המשחק.",3,,,,
רעיונות,"עיצוב חומרים, יתכן שאפשר לבד בקנבה ולא צריך גרפיקאי, או לקחת גרפיקאי רק על הבסיס ולא על כל  פיפס וכרטיס.",3,,,,
רעיונות,לברר מה הם השלבים בייצור המשחקים,3,,,,
רעיונות,לשבת עם יועץ עסקי או חברת תפוצה ולבחון את המודל העסקי אולי לחיים הפקות.,3,,,,
רעיונות,"לבדוק את הבז קליק הקטנים הלא אלחוטי מבחינת מחיר, גודל, שילוב במהלך המשחק.",3,,,,
רעיונות,ייצור בארץ של דגם אבטאוס,3,,,,
רעיונות,ייצור בסין של דגם ראשוני לאישור,3,,,,
רעיונות,אישור וכניסה לייצור המוני,3,,,,
רעיונות,הודעה וסרטון לשיווק כאן בארץ בסוף חודש חשוון,3,,,,
רעיונות,תכנון נקודות הפצה בכל הארץ,3,,,,
רעיונות,הקמת אתר נחיתה ואפשרות משלוח עד הבית / משלוח עם חברת שילוח,3,,,,
רעיונות,ייצור מתקן להסיבה שמתחבר לכל כסא,3,,,,
רעיונות,לבדוק רעיון של השכרת רכב,3,,,,
רעיונות,לנסוע לקרויזר בטלז סטון,3,,,,
רעיונות,דיגטציה תמונות,3,,,,
רעיונות,מחירון באתר או במייל חוזר,3,,,,
